class_hls,delta
LL-RIs,414.47826481191373
LL-RIs,399.1146063496431
LL-RIs,375.1715664964811
LL-RIs,387.79554161329463
LL-RIs,397.91444138338636
LL-RIs,448.43582700789375
LL-RIs,397.208603666489
LL-RIs,427.32589561069113
LL-RIs,427.40831585400997
LL-RIs,415.5217045512293
LL-RIs,390.85682617623894
LL-RIs,388.7324679163878
LL-RIs,410.0916809638101
LL-RIs,416.6062700119091
LL-RIs,401.9631913297218
LL-RIs,396.2673989981607
LL-RIs,399.17278369386
LL-RIs,394.15742947753927
LL-RIs,414.6607197919795
LL-RIs,422.4412445735356
LL-RIs,393.3769874149633
LL-RIs,412.2385614239225
LL-RIs,375.79963336121523
LL-RIs,437.7036272704038
LL-RIs,380.6498959858021
LL-RIs,398.85334499136195
LL-RIs,432.29562202462466
LL-RIs,410.4832284906417
LL-RIs,388.77000086971236
LL-RIs,393.83816825271924
LL-RIs,402.14491710647474
LL-RIs,400.9381932897016
LL-RIs,386.27939842815397
LL-RIs,380.6349233368299
LL-RIs,384.41470865518545
LL-RIs,408.86897851684864
LL-RIs,410.3972280391328
LL-RIs,416.3133152984171
LL-RIs,382.7716833594729
LL-RIs,417.9747261933935
LL-RIs,415.9826378152647
LL-RIs,405.42057209762004
LL-RIs,399.1323817030876
LL-RIs,412.1095386508015
LL-RIs,390.43030913324617
LL-RIs,428.9052287461539
LL-RIs,376.96116393602586
LL-RIs,424.82855158390606
LL-RIs,414.2077922040682
LL-RIs,437.94891341448607
LL-RIs,408.14083494894004
LL-RIs,439.2576073953379
LL-RIs,366.49286825723783
LL-RIs,413.1281054579312
LL-RIs,423.33746781628525
LL-RIs,408.3017007623437
LL-RIs,404.7768999476845
LL-RIs,384.40124954501874
LL-RIs,395.3572960500692
LL-RIs,399.606327599065
LL-RIs,395.4497930361703
LL-RIs,415.047730782071
LL-RIs,421.32648635934646
LL-RIs,401.76281479221745
LL-RIs,437.0627560674034
LL-RIs,407.268213914881
LL-RIs,393.97001775359377
LL-RIs,411.275787870366
LL-RIs,421.47914126501786
LL-RIs,398.05120371689173
LL-RIs,414.87598708087637
LL-RIs,394.33879298766163
LL-RIs,407.25716691758316
LL-RIs,425.49124638953185
LL-RIs,391.9813453079918
LL-RIs,374.7016423968947
LL-RIs,411.66850388262554
LL-RIs,358.23021039237636
LL-RIs,394.4024736636722
LL-RIs,387.81759825303897
LL-RIs,378.71048086959956
LL-RIs,423.5596560616989
LL-RIs,401.9744809529661
LL-RIs,382.6370008556033
LL-RIs,428.0778533886952
LL-RIs,400.6947827652494
LL-RIs,386.5313339007217
LL-RIs,413.8064249378394
LL-RIs,435.69695100268666
LL-RIs,404.6564832100167
LL-RIs,424.41606846925396
LL-RIs,398.75580837736237
LL-RIs,417.351843553269
LL-RIs,415.8454080152778
LL-RIs,429.92803128079714
LL-RIs,434.0199967255048
LL-RIs,386.87177846427346
LL-RIs,420.6759654563081
LL-RIs,366.433014901208
LL-RIs,408.7715217699873
LL-RIs,400.3649022564373
LL-RIs,406.1884329748802
LL-RIs,419.6201796437616
LL-RIs,428.84066994310587
LL-RIs,369.4644241246547
LL-RIs,449.53825536528234
LL-RIs,404.5386886294915
LL-RIs,403.8984631878647
LL-RIs,387.7446180930573
LL-RIs,417.8448708498338
LL-RIs,431.794062104234
LL-RIs,426.3282535288151
LL-RIs,415.7500727782829
LL-RIs,400.56492092686346
LL-RIs,432.4603130072955
LL-RIs,406.587767025722
LL-RIs,411.3437744045182
LL-RIs,414.3795099690624
LL-RIs,380.19821695826437
LL-RIs,421.23066236310893
LL-RIs,373.05378684455934
LL-RIs,351.7419195209772
LL-RIs,420.2456621807662
LL-RIs,430.8046331866836
LL-RIs,399.89956500499534
LL-RIs,399.86996340518556
LL-RIs,383.2937393206362
LL-RIs,386.84539613835454
LL-RIs,406.95356689424887
LL-RIs,378.6264707379137
LL-RIs,424.0583125079704
LL-RIs,416.56003623627333
LL-RIs,434.51198409584714
LL-RIs,352.79964160223176
LL-RIs,432.9496528009218
LL-RIs,390.9711600657907
LL-RIs,415.1737904487649
LL-RIs,391.4692188034873
LL-RIs,408.1003667808011
LL-RIs,412.58108447330125
LL-RIs,429.963319700571
LL-RIs,404.251797844554
LL-RIs,377.03113951471545
LL-RIs,372.6621123208297
LL-RIs,385.64514391995795
LL-RIs,397.86881958229736
LL-RIs,403.5509471722241
LL-RIs,393.21180461942583
LL-RIs,408.965322028252
LL-RIs,376.05987925297654
LL-RIs,414.4005613376587
LL-RIs,397.8561776247779
LL-RIs,389.70323846997246
LL-RIs,408.18900184070327
LL-RIs,400.76631134143
LL-RIs,369.6154442729767
LL-RIs,395.254517353668
LL-RIs,404.59226989006305
LL-RIs,400.8357718197468
LL-RIs,402.1903013771576
LL-RIs,383.1583450904248
LL-RIs,408.3967402347011
LL-RIs,423.1683945624344
LL-RIs,411.5868250223103
LL-RIs,348.23917619890045
LL-RIs,407.6032343693664
LL-RIs,412.219337132833
LL-RIs,407.93069492281376
LL-RIs,408.25509572802576
LL-RIs,373.70032370256945
LL-RIs,434.9195819972674
LL-RIs,389.99861471007534
LL-RIs,370.9906297541633
LL-RIs,393.14042098137946
LL-RIs,417.5547448802215
LL-RIs,402.2062023878746
LL-RIs,454.78278406154584
LL-RIs,402.90294251132264
LL-RIs,378.1202496742875
LL-RIs,380.1238475811698
LL-RIs,393.4991320179046
LL-RIs,399.6056218192446
LL-RIs,396.41096252221195
LL-RIs,425.39191546454515
LL-RIs,450.70705243717714
LL-RIs,407.86581942558007
LL-RIs,374.34414633919033
LL-RIs,406.2514075368954
LL-RIs,430.73044306354393
LL-RIs,395.6348685719775
LL-RIs,413.496697464539
LL-RIs,390.11990854085457
LL-RIs,397.23196952006856
LL-RIs,384.65627947409973
LL-RIs,412.5126260949364
LL-RIs,446.3240723912587
LL-RIs,407.50636780756486
LL-RIs,384.2590536124478
LL-RIs,390.7674571048991
LL-RIs,404.52349504005866
LL-RIs,416.29537717955714
LL-RIs,411.7388052012606
LL-RIs,387.8798884287172
LL-RIs,447.4818786669583
LL-RIs,414.3551759097871
LL-RIs,415.852890135213
LL-RIs,402.1839571298218
LL-RIs,370.6851738126998
LL-RIs,401.9660004490124
LL-RIs,411.68234743098554
LL-RIs,399.4732030705511
LL-RIs,406.08475197184436
LL-RIs,417.7251408731082
LL-RIs,419.17620226737415
LL-RIs,430.26124473597326
LL-RIs,426.59866433802574
LL-RIs,432.83637524857676
LL-RIs,367.0941792352971
LL-RIs,398.61953719323805
LL-RIs,444.4694906168545
LL-RIs,407.6642938803118
LL-RIs,421.60368018254434
LL-RIs,410.82736467555026
LL-RIs,391.9852356083706
LL-RIs,409.750364993682
LL-RIs,394.4889186238306
LL-RIs,407.09961183569544
LL-RIs,441.94556962955954
LL-RIs,393.14442645682556
LL-RIs,369.6224511170468
LL-RIs,395.267110661799
LL-RIs,389.5743365469227
LL-RIs,372.047020508647
LL-RIs,449.56140384336
LL-RIs,376.43539409528717
LL-RIs,419.57271239385454
LL-RIs,395.82781248763933
LL-RIs,384.1827819847765
LL-RIs,392.59683690732027
LL-RIs,388.4336588233018
LL-RIs,388.81807819533196
LL-RIs,419.34592991641154
LL-RIs,368.0851073371565
LL-RIs,391.39980861224234
LL-RIs,435.9848307227706
LL-RIs,433.23100200697974
LL-RIs,370.60259631440886
LL-RIs,419.64790286507383
