class_ir,delta
Retained,0.4048376043296071
Retained,0.42215106310861733
Retained,0.3999058331667963
Retained,0.3600684208465521
Retained,0.34139076221865106
Retained,0.3685689922346805
Retained,0.4192247536065596
Retained,0.40673434833091193
Retained,0.39782543642222873
Retained,0.33781557303759824
Retained,0.35475804021753127
Retained,0.3867243566012267
Retained,0.42372392716462143
Retained,0.4228525909729172
Retained,0.38274216292790125
Retained,0.4130150082553983
Retained,0.3709582757265956
Retained,0.37511122742839387
Retained,0.39636595867375785
Retained,0.41018400469829913
Retained,0.42329716868552986
Retained,0.38912110852726484
Retained,0.37575686151456617
Retained,0.3638307114888716
Retained,0.3680061322501699
Retained,0.3983112788317005
Retained,0.36877865565344653
Retained,0.384466219654987
Retained,0.44075159516424056
Retained,0.36859275546199227
Retained,0.38245532079309214
Retained,0.38366593895991324
Retained,0.3394833532800817
Retained,0.3872045744325726
Retained,0.3548612068086086
Retained,0.4017715378422143
Retained,0.42159198838703227
Retained,0.4099307666647794
Retained,0.37101080062193154
Retained,0.39364163944604247
Retained,0.4135739228356238
Retained,0.39887550030934865
Retained,0.3714023542424881
Retained,0.3876010180491277
Retained,0.40994638344808165
Retained,0.41193368292233185
Retained,0.3501481927623745
Retained,0.4260473147525521
Retained,0.38093705876881667
Retained,0.4071655651541878
Retained,0.39330026934575424
Retained,0.37801052359422194
Retained,0.4173910248449459
Retained,0.3542830977074111
Retained,0.3937720215537127
Retained,0.39136489745041386
Retained,0.3823426434595328
Retained,0.4131328295373978
Retained,0.4057139913227729
Retained,0.42705851706223147
Retained,0.3422623430646784
Retained,0.38160170789707804
Retained,0.3843941228371911
Retained,0.3614347214716887
Retained,0.3817721322939445
Retained,0.40038514634425515
Retained,0.3573232544192708
Retained,0.4140987738646625
Retained,0.3685621815232908
Retained,0.40425750654802367
Retained,0.3696886060473129
Retained,0.4023158151689734
Retained,0.3928908754599292
Retained,0.38068682327301245
Retained,0.36592977741754285
Retained,0.3882500029390302
Retained,0.42319201547649515
Retained,0.40253987213012715
Retained,0.39286580559599676
Retained,0.43305894048399957
Retained,0.36333593410792764
Retained,0.35297946039627914
Retained,0.4026206127155293
Retained,0.39531626524410546
Retained,0.42244480275607926
Retained,0.3891398418746306
Retained,0.39150803061494377
Retained,0.3868287096487527
Retained,0.3987650637698098
Retained,0.3986866474015372
Retained,0.41202186049657324
Retained,0.3507481293687552
Retained,0.41533322887267
Retained,0.38568250916216484
Retained,0.40038856838697107
Retained,0.3456919399899168
Retained,0.4043531581452515
Retained,0.3947916050046965
Retained,0.38097984196318757
Retained,0.36153910336148204
Retained,0.3773461604512977
Retained,0.37003933348120127
Retained,0.38221161141309945
Retained,0.45397321910558763
Retained,0.4028985142456753
Retained,0.35203689348353534
Retained,0.35575226409409694
Retained,0.39216318839030767
Retained,0.38079485636259525
Retained,0.3746117458511678
Retained,0.3943351080185946
Retained,0.4300650906547661
Retained,0.35361496475264453
Retained,0.3861626375038464
Retained,0.3898271106315296
Retained,0.39406627572246383
Retained,0.3868802030069956
Retained,0.378829637607233
Retained,0.3921485151537652
Retained,0.3697064843243879
Retained,0.3578065985274188
Retained,0.3808163860646758
Retained,0.3890997824791733
Retained,0.3688679835705634
Retained,0.3770910584518397
Retained,0.36679501944786763
Retained,0.4114365600180241
Retained,0.376392961937302
Retained,0.3929858453495795
Retained,0.38011019667005475
Retained,0.38531201887688377
Retained,0.39082379012186375
Retained,0.35060753382735305
Retained,0.4131415705612687
Retained,0.3601418456146896
Retained,0.3708213957686351
Retained,0.3682339597062221
Retained,0.34696677960449956
Retained,0.4010863346078897
Retained,0.3940135571567201
Retained,0.4245695120962291
Retained,0.376898949126322
Retained,0.3941472420190042
Retained,0.37406807581789564
Retained,0.39308434097536504
Retained,0.4020419915229674
Retained,0.38166053178685805
Retained,0.3739021545001908
Retained,0.36969619286837413
Retained,0.3945163299285331
Retained,0.3210570376404276
Retained,0.3355669619404761
Retained,0.386257699234636
